stock_id,item_id,size,amount,price
41264f6d71464e23a11db9e8cab056d7,1,3.0,1,1950
ffe476f4895d4b06a3a91c8448ad35c3,1,5.0,1,1950
bb910cf1c5614a029bba688ce609f58c,1,7.0,5,1950
b7563e13eb3a496d9ee6b6a1ee5980ba,1,9.0,0,1950
f72732cf0fd243f19063ab5d9439530a,2,3.0,5,2300
3849489bdba94ea8a9591daa69d3d050,2,5.0,1,2300
01fab37811364bc7bb5466afe5c1b5a6,2,7.0,3,2300
7f8120db6ecd4df09ca2cf11d2b46fab,2,9.0,2,2300
055ee9551ec9491cb7e7cf8158d83774,3,6.3,1,900
81506b79bd9943ea8adea5433253f360,3,6.7,2,900
0d6e37c6b78e4bd98af3c2d56d0aa252,3,7.1,3,900
3a2a2926056b457ba9d589ab6d1f39d1,3,7.9,3,900
eb1b3d3f34e94387a4dabd5071dd9fac,3,9.0,3,900
6b60896cd9ed4dca9f147717b9935c8d,4,6.3,5,1300
9e9245e96eaa42df91bfc6dde3eba5af,4,6.7,2,1300
810ee7d3a3b84ba9ac4393091ef0e1ae,4,7.1,4,1300
54259da114ee4ee699a18df770bfcfcd,4,7.9,2,1300
5968cd2f72a64326ad762365b5e90927,4,9.0,2,1300
4796a88e23be450f8f17fc0d0acb0dce,5,16.0,5,3300
c6460cf150b34924a7830f4e924ce815,5,17.7,2,3300
f1f5000774cb41b0a691de24e4618f47,5,19.4,5,3300
d890e4497a4b4f43b70d943bd3abf6e3,6,16.0,3,4700
4179c1d270ff44948e24e2dee5e2c23e,6,17.7,3,4700
9881a5bece9a4e70b33929a4f12cd1f4,6,19.4,0,4700
30eac44ee78f4dc89652215b0c5de730,7,1.0,0,1950
81d7cd6c55df4e7f87af1ca3bb9070cc,8,1.0,5,2150
0bc575ca2fad4e8ea02718756a0a2725,9,3.0,3,2550
87f9d6c80b034621adfb35f1bfe638bb,9,5.0,2,2550
89265ce09a064585a80180c277996e50,9,7.0,5,2550
43480afd6c554d6b9e62541b449b10be,9,9.0,4,2550
1a3a28157152490bb223dcf9aec2f1fa,10,3.0,4,2100
f0dd34c3066e4efcbfa4e40489a7d446,10,5.0,0,2100
20c0fa0ceca44c97948274914566b19e,10,7.0,4,2100
4e69d2fa30ff456abe54ebb4ee5a3a87,10,9.0,3,2100
655fb8aed62c424ea71ea5b18076f3b2,11,16.0,5,1500
5ccf9f7c7de64d8eb80f37b5021c3089,11,17.7,5,1500
08b9830f966e4706a3fa80226a4815ea,11,19.4,4,1500
e2932907705c4dc3bf530fbb124b9b41,12,16.0,0,1100
472a2511f60e48e9a7d88f953ecf5297,12,17.7,0,1100
944d7053d4e1498c9a0c4fe09433c417,12,19.4,2,1100
351e2c6595614ccba880e50020a23748,13,1.0,1,950
61e2b24c7aca45d0942f9f3fcaefd170,14,1.0,5,750
ef0f549119fe4de8ba944b204f47a0a1,15,3.0,2,1700
7352fc455cde4762b15596ace16d5d50,15,5.0,1,1700
f61c203cc3ad4d458c4db627941e52a3,15,7.0,0,1700
cd8a2f9f93da45d68843d4cb67707db5,15,9.0,3,1700
ce9e40db5a004eaabd3faf8b6411a936,16,3.0,3,2100
d501d32116874e30ada34d27588941ef,16,5.0,1,2100
78231ee35cbc4de694b50459f76fe308,16,7.0,2,2100
acf3943057c0480c91c0d32b18bd894b,16,9.0,4,2100
10ba8911b09f46ffbde7c7eb7a448fee,17,3.0,1,2550
7ad27bc8560f4120a8a0db72c0181add,17,5.0,1,2550
0fdceca9fe3b47b2afc8565d4b14a619,17,7.0,3,2550
910f98653fbc4ea6a504e252e687238a,17,9.0,4,2550
bf6dca19568c4f66bbc6a46b7e173187,18,16.0,5,1050
88a09d74604f486ba07f0f653b2cb8f2,18,17.7,5,1050
99ebd2e7e71345e488dd015b2c8ef28a,18,19.4,1,1050
a3028d00ea334affa5d6d05210e46ec4,19,16.0,3,1450
3cc1511514034a04ac3fd2dfc20e757a,19,17.7,3,1450
a17bda8424574c4e86af221e2dab8a0b,19,19.4,1,1450
