review_id,item_id,user_id,date,text,rating,is_recommend
790077089c0a42a59073b1256084d211,1,1,2024-06-03,,2,False
07af9157c9c44e818caa8eca2807e693,5,2,2024-05-22,,1,False
2652f0902ddc4b86a4ba685828aecb11,3,2,2024-05-18,,1,False
078a8ac673c74a3da320e36cf8c4c5bb,1,2,2024-05-16,,1,False
94c7a69c23c44ec6bd48d6b0b8d41d37,2,2,2024-05-19,,4,True
29e618a121c649f18db701f6cdbdbcd7,3,1,2024-05-13,,1,False
dd1204ced21947f78fd8d80959654cf3,18,1,2024-05-16,,2,False
4c3d299092454eaa9707ce15aef031e7,3,6,2024-05-16,,3,False
a202b2ca4f7a4d98a7800bf5885100cb,19,5,2024-05-08,,1,False
7f29773f19b0441ba3c72fd333075e51,10,6,2024-06-22,,4,True
93a9c18c6c68453e8ca72da265839316,6,4,2024-06-04,,4,True
6e71a4060d2542288903322b692c806c,11,4,2024-06-04,,1,False
b387903b367b4fc1bee138df72387220,6,4,2024-06-07,,1,False
656492cc0b71471f9da2dbcd43f33f5c,16,2,2024-06-09,,2,False
