purchase_id,stock_id
c6e673a0d87146548c0af791e058aae6,4e69d2fa30ff456abe54ebb4ee5a3a87
c6e673a0d87146548c0af791e058aae6,41264f6d71464e23a11db9e8cab056d7
59067c5e35d949d2b24dbc702361d88a,f1f5000774cb41b0a691de24e4618f47
59067c5e35d949d2b24dbc702361d88a,eb1b3d3f34e94387a4dabd5071dd9fac
59067c5e35d949d2b24dbc702361d88a,bb910cf1c5614a029bba688ce609f58c
59067c5e35d949d2b24dbc702361d88a,7f8120db6ecd4df09ca2cf11d2b46fab
fe9ad097cfa74dd5874c987c54827e50,eb1b3d3f34e94387a4dabd5071dd9fac
fe9ad097cfa74dd5874c987c54827e50,4796a88e23be450f8f17fc0d0acb0dce
fe9ad097cfa74dd5874c987c54827e50,88a09d74604f486ba07f0f653b2cb8f2
fe9ad097cfa74dd5874c987c54827e50,01fab37811364bc7bb5466afe5c1b5a6
08230e1367564379acc7c73d29d0e45d,3a2a2926056b457ba9d589ab6d1f39d1
08230e1367564379acc7c73d29d0e45d,944d7053d4e1498c9a0c4fe09433c417
37566bc37f754838a42e5f4243026f35,e2932907705c4dc3bf530fbb124b9b41
37566bc37f754838a42e5f4243026f35,3cc1511514034a04ac3fd2dfc20e757a
ea5e443f89c84fd2b0f51b0b65cb73e5,30eac44ee78f4dc89652215b0c5de730
ea5e443f89c84fd2b0f51b0b65cb73e5,a3028d00ea334affa5d6d05210e46ec4
ea5e443f89c84fd2b0f51b0b65cb73e5,43480afd6c554d6b9e62541b449b10be
b3c8af5231774034b6b2933f45aebfd9,bb910cf1c5614a029bba688ce609f58c
b3c8af5231774034b6b2933f45aebfd9,1a3a28157152490bb223dcf9aec2f1fa
b3c8af5231774034b6b2933f45aebfd9,d890e4497a4b4f43b70d943bd3abf6e3
8abc7fb59f0842f598ab110c19785603,20c0fa0ceca44c97948274914566b19e
8abc7fb59f0842f598ab110c19785603,9881a5bece9a4e70b33929a4f12cd1f4
8abc7fb59f0842f598ab110c19785603,87f9d6c80b034621adfb35f1bfe638bb
c8874fdc196b4bf19aa20ab6da05e4af,4179c1d270ff44948e24e2dee5e2c23e
c8874fdc196b4bf19aa20ab6da05e4af,81d7cd6c55df4e7f87af1ca3bb9070cc
c8874fdc196b4bf19aa20ab6da05e4af,5ccf9f7c7de64d8eb80f37b5021c3089
c8874fdc196b4bf19aa20ab6da05e4af,d890e4497a4b4f43b70d943bd3abf6e3
b12700f4c5cd42f4903c1d1837458c76,f0dd34c3066e4efcbfa4e40489a7d446
b12700f4c5cd42f4903c1d1837458c76,ce9e40db5a004eaabd3faf8b6411a936
b12700f4c5cd42f4903c1d1837458c76,7352fc455cde4762b15596ace16d5d50
